message,label
cap is there with no arty that renders that flank completely useless,Non-Toxic
Im Spotted at D7!,Non-Toxic
:D,Non-Toxic
Im Spotted at D7!,Non-Toxic
Im Spotted at D7!,Non-Toxic
Im Spotted at D7!,Non-Toxic
haha,Non-Toxic
yes cap,Non-Toxic
stupid E100 hide behind me,Insults and Flaming
omg,Non-Toxic
cap,Non-Toxic
gg,Non-Toxic
imagine shots,Non-Toxic
on the spots,Non-Toxic
now just wait,Non-Toxic
je te suis,Non-Toxic
ok,Non-Toxic
mrc,Non-Toxic
dr,Non-Toxic
viens,Non-Toxic
gg,Non-Toxic
go,Non-Toxic
ok,Non-Toxic
gg,Non-Toxic
gg,Non-Toxic
gg,Non-Toxic
"no eyes, hellcat, I'm out",Other Offensive Texts
"yea,, 3 on 1 was more than i could handle",Non-Toxic
usless scouts let hell cat un sighted in fiel..,Insults and Flaming
saw that coming,Non-Toxic
nice,Non-Toxic
wow,Non-Toxic
gg,Non-Toxic
hahaha,Non-Toxic
retarded t10 confirmed,Insults and Flaming
xD,Non-Toxic
animal,Insults and Flaming
retarded t10 like I sadi,Insults and Flaming
fucking hell,Other Offensive Texts
didnt even get to reload,Non-Toxic
gg,Non-Toxic
thansk for help 2 stupid idiot in liberte,Insults and Flaming
gg,Non-Toxic
gg,Non-Toxic
gg,Non-Toxic
well sjlt,Non-Toxic
spg,Non-Toxic
wow invisible,Non-Toxic
now you shoot him,Non-Toxic
i think one of the arty is going to have to spot,Non-Toxic
not sure what's going on with the wolverine,Non-Toxic
he seems confused and constipated,Non-Toxic
yep,Non-Toxic
gg,Non-Toxic
whew,Non-Toxic
Im Spotted at A6!,Non-Toxic
Im Spotted at B7!,Non-Toxic
Im Spotted at B5!,Non-Toxic
lol,Non-Toxic
i will take it,Non-Toxic
yeah,Non-Toxic
Im Spotted at F8!,Non-Toxic
gg,Non-Toxic
та суки на пт,Non-Toxic
даун лт нету,Non-Toxic
Засвет в квадрате E2!!!,Non-Toxic
Засвет в квадрате E2!!!,Non-Toxic
I've been spotted in F2!,Non-Toxic
Засвет в квадрате F2!!!,Non-Toxic
I've been spotted in D2!,Non-Toxic
мда,Non-Toxic
такі дауни,Insults and Flaming
відбірні,Non-Toxic
push,Non-Toxic
full idiots on hill,Insults and Flaming
on begin 6 vs 3 on hill and only fu fear no 1 *****,Other Offensive Texts
stop advance and you miss all shots lol,Other Offensive Texts
t34 spoot,Non-Toxic
I've been spotted in C6!,Non-Toxic
gg,Non-Toxic
gg,Non-Toxic
gg,Non-Toxic
this side is clear,Non-Toxic
"wow, no arty on prohorovka",Non-Toxic
nice 1,Non-Toxic
go,Non-Toxic
tik tak,Non-Toxic
gg,Non-Toxic
nice,Non-Toxic
Im Spotted at E4!,Non-Toxic
Im Spotted at E4!,Non-Toxic
report obj 702 for pushing,Non-Toxic
lt HERE,Non-Toxic
can you kill it ?,Non-Toxic
from where did he shoot,Non-Toxic
"BattleGreen (Skorpion G), T'es tellement gros que tu bloque mon tir d??gage!",Non-Toxic
c'est quel genre de msg sa ?,Non-Toxic
message personalissee,Non-Toxic
hahaha,Non-Toxic
par un mod,Non-Toxic
exellent,Non-Toxic
"Une saloperie me vois, je suis spot Bordel G8!",Non-Toxic
"tu ecris ce que tu veux, dans la mesure du correct",Non-Toxic
le nom ?,Non-Toxic
c'est un mod pak,Non-Toxic
tu trouve sa ou ?,Non-Toxic
site wg,Non-Toxic
appres la bataille,Non-Toxic
ok ok,Non-Toxic
merci,Non-Toxic
"Une saloperie me vois, je suis spot Bordel G8!",Non-Toxic
"Une saloperie me vois, je suis spot Bordel G8!",Non-Toxic
nice loser,Other Offensive Texts
no Support,Other Offensive Texts
"Une saloperie me vois, je suis spot Bordel G8!",Non-Toxic
"Une saloperie me vois, je suis spot Bordel G8!",Non-Toxic
"Une saloperie me vois, je suis spot Bordel F7!",Non-Toxic
"Une saloperie me vois, je suis spot Bordel G3!",Non-Toxic
sry,Non-Toxic
gg campers,Insults and Flaming
Засвет в квадрате G5!!!,Non-Toxic
т 28 бот,Other Offensive Texts
gg,Non-Toxic
left side loose,Non-Toxic
char go spot pls..,Non-Toxic
idiot t57,Insults and Flaming
go,Non-Toxic
save,Non-Toxic
big noob,Insults and Flaming
let char spot..,Non-Toxic
"we need you to shoot..,",Non-Toxic
in bacl,Non-Toxic
WT please!!,Non-Toxic
dont waste!,Non-Toxic
kill batchet and we win!!,Non-Toxic
arty,Non-Toxic
BC pls,Non-Toxic
cahr know its youre game..,Non-Toxic
push all?,Non-Toxic
awit,Non-Toxic
wait,Non-Toxic
passion,Non-Toxic
5 shell,Non-Toxic
gog og o,Non-Toxic
ggoo for it,Non-Toxic
all,Non-Toxic
??push,Non-Toxic
next shithole and bastard team,Non-Toxic
uselss campers...,Insults and Flaming
Im Spotted at G2!,Non-Toxic
Im Spotted at G2!,Non-Toxic
sorry bisonte,Non-Toxic
i need,Non-Toxic
sp,Non-Toxic
gg good team,Non-Toxic
aa,Non-Toxic
top gun,Non-Toxic
zebi je suis spot at G0!,Non-Toxic
wtf heavy,Insults and Flaming
manti,Non-Toxic
leo\,Non-Toxic
srsly,Non-Toxic
kran,Non-Toxic
g,Non-Toxic
gg,Non-Toxic
gg,Non-Toxic
td+s,Non-Toxic
move here,Non-Toxic
amx fall back FFS,Insults and Flaming
who shoot SU,Non-Toxic
Lippu haltuun k??mpp??ys loppuu,Non-Toxic
I am spotted at D4!,Non-Toxic
fucking Challenger,Insults and Flaming
I am spotted at C5!,Non-Toxic
gj,Non-Toxic
hi guys,Non-Toxic
good luck,Non-Toxic
"tarin29 (KV-1SA), не мешай стрелять! Уйди с линии огня по противнику!",Non-Toxic
can someone push the amx ?,Non-Toxic
maybe m10 rbfm?,Non-Toxic
m10 I need your help,Non-Toxic
we need to push the amx 12t,Non-Toxic
kv1 sa can you maybe push him there?,Non-Toxic
vk go,Non-Toxic
nice now go for arty,Non-Toxic
vk you can go cap,Non-Toxic
m10 go for arty,Non-Toxic
vk PLEASE go into their cap,Non-Toxic
gg,Non-Toxic
but i need help in cap,Non-Toxic
we need 2 in the cap,Non-Toxic
grille can help you,Non-Toxic
i go cap,Non-Toxic
m10 can rush for their arty,Non-Toxic
with his hp,Non-Toxic
2 in cap,Non-Toxic
gg,Non-Toxic
this micro management ^^,Non-Toxic
gg,Non-Toxic
su get closer to us,Non-Toxic
I spot them,Non-Toxic
gg leo -_-,Non-Toxic
why did you take my 8th kill,Non-Toxic
:(,Non-Toxic
omg arty,Non-Toxic
wtf,Other Offensive Texts
nice,Non-Toxic
gj char,Non-Toxic
тт ц нас дауни,Non-Toxic
Засвет в квадрате J5!!!,Non-Toxic
ис 7 якщо ти підарас нахуй ти свім це показуеш,Non-Toxic
Засвет в квадрате J5!!!,Non-Toxic
ЛЕОПАРД СОСИ ХУЙ ПИДОР ХОХЛЯЦКИЙ,Non-Toxic
ЭТО ЧМО МЕНЯ ВСЕ ВРЕМЯ ВЫТАЛКИВАЛО,Other Offensive Texts
ПОСМОТРИ РЕПЛЕЙ ВАФЛЯ ПОТОМ ГУЕНДОСЬ,Non-Toxic
Report Jackson.... AFK,Non-Toxic
GJ,Non-Toxic
yust spot,Non-Toxic
arty wtf,Non-Toxic
preaim the hill pls,Non-Toxic
spot,Non-Toxic
derp gun.....,Non-Toxic
gg,Non-Toxic
go back,Non-Toxic
ME?,Non-Toxic
gg,Non-Toxic
thanks,Non-Toxic
brainless subhuman,Insults and Flaming
sorry amx,Non-Toxic
dfuck,Other Offensive Texts
tenks for suport team,Non-Toxic
kupuja kutasy czolgi i witmany nagle sie robia,Other Offensive Texts
NOOB TEAM,Insults and Flaming
TOP TANKI IDIOTI,Insults and Flaming
Im Spotted at E5!,Non-Toxic
Im Spotted at D5!,Non-Toxic
Im Spotted at D5!,Non-Toxic
Im Spotted at D5!,Non-Toxic
any light spot hee ?,Non-Toxic
gg kranvagn,Non-Toxic
best turret in the game and yu decide to snipe,Non-Toxic
fuck team,Insults and Flaming
kill first ligth,Non-Toxic
ebr kill you,Threats
HE,Non-Toxic
HE bud,Non-Toxic
mate stop pinging and help,Non-Toxic
You should stay with us mate,Non-Toxic
instead of camping all the game long,Non-Toxic
you dont have range to help us and you are camping nowhere,Non-Toxic
just draw,Non-Toxic
Im Spotted at K0!,Non-Toxic
)),Non-Toxic
amx,Non-Toxic
you stupid,Insults and Flaming
you are stupid for pushing alone,Insults and Flaming
nice shot arty,Non-Toxic
Im Spotted at F0!,Non-Toxic
Im Spotted at A7!,Non-Toxic
mongole,Insults and Flaming
Im Spotted at B3!,Non-Toxic
Im Spotted at C2!,Non-Toxic
Z,Non-Toxic
why is a heavy snipind :??,Non-Toxic
oleeeeeeeeeeeee,Non-Toxic
jag move ur ass,Insults and Flaming
jhaaaaaaaaaaaaaaaaaaaag,Non-Toxic
move!!!!!!,Non-Toxic
im slow,Non-Toxic
sry,Non-Toxic
gg,Non-Toxic
gg,Non-Toxic
MOVE,Non-Toxic
???????,Non-Toxic
Just go lose fast ty,Other Offensive Texts
"T-43 you are fastes, should go around kill that KV2 and reset",Non-Toxic
im out of booster,Non-Toxic
$?? VOLLIDIOT,Insults and Flaming
T 43 vollidiot,Insults and Flaming
gg,Non-Toxic
tyhank you,Non-Toxic
i go spot heavy line,Non-Toxic
be ready,Non-Toxic
wtf idiot team,Insults and Flaming
to many campers,Insults and Flaming
stay and watch,Non-Toxic
ok,Non-Toxic
fucking snnipers,Insults and Flaming
yes,Non-Toxic
skill issue tbh,Other Offensive Texts
Huren tiem,Non-Toxic
lappen tieger,Insults and Flaming
1,Non-Toxic
lol,Non-Toxic
gg,Non-Toxic
gg,Non-Toxic
still hate arty?!?!!?...aarrrghh,Other Offensive Texts
attack ffs,Other Offensive Texts
stop wasting HP,Non-Toxic
hackler arty,Other Offensive Texts
yes,Non-Toxic
spot man,Non-Toxic
bots,Insults and Flaming
help STRV to spot,Non-Toxic
"T92, shoot STRV",Non-Toxic
come onnnnn,Non-Toxic
it has 100hp,Non-Toxic
GG ARTY,Non-Toxic
puuusssh,Non-Toxic
no time,Non-Toxic
"come on guys, stop camping",Insults and Flaming
i haven seen so much camp for years,Insults and Flaming
bots,Insults and Flaming
GG,Non-Toxic
finaly after 6 Tier VIII Battles,Non-Toxic
Im Spotted at C9!,Non-Toxic
Im Spotted at B4!,Non-Toxic
Im Spotted at B3!,Non-Toxic
gg,Non-Toxic
"Отличное настроение, спасибо NETradioWOT!",Non-Toxic
нагнем?,Non-Toxic
дааа,Non-Toxic
тт кустовые твари,Non-Toxic
ммсчи имссчччяяячсмииьборрппаааввыфйцукенеглагкла,Non-Toxic
тт кустовые твари,Non-Toxic
удалите игру,Insults and Flaming
стадо конченых ссыкунов на аллее,Insults and Flaming
и петушиный взвод,Non-Toxic
чтоб вы все падохли,Threats
х** вам а не победу,Insults and Flaming
твари,Non-Toxic
WHERE?,Non-Toxic
stay hidden JIm,Non-Toxic
be careful,Non-Toxic
cap but stay hidden,Non-Toxic
nice,Non-Toxic
The visual was intense!!!,Non-Toxic
gg,Non-Toxic
gg,Non-Toxic
gg,Non-Toxic
td,Non-Toxic
i support you,Non-Toxic
go bxc,Non-Toxic
bc,Non-Toxic
wait t150,Non-Toxic
push,Non-Toxic
go push him,Non-Toxic
plis,Non-Toxic
go push,Non-Toxic
don't stay,Non-Toxic
no problem go,Non-Toxic
pudel hit you go push,Non-Toxic
UFF,Non-Toxic
yes,Non-Toxic
good,Non-Toxic
gl yall :),Non-Toxic
wu2,Non-Toxic
oooh our PTA is on my blacklist. they must be... interesting,Non-Toxic
spot hill please,Non-Toxic
yes please,Non-Toxic
lol fv if you delete somethin on hill in one shot i'll buy you gold,Non-Toxic
not there leo !@@@,Non-Toxic
leo need yuo up here bud,Non-Toxic
thanks fv!,Non-Toxic
"leavin the e1 to you vz, gonna help 9 line",Non-Toxic
got it,Non-Toxic
ouch,Non-Toxic
ayoye,Non-Toxic
can some one go up top,Non-Toxic
imma try,Non-Toxic
fuck arty,Other Offensive Texts
wtf,Other Offensive Texts
help pls,Non-Toxic
ty fv,Non-Toxic
lol youre welcome,Non-Toxic
be polite asshole LOL,Insults and Flaming
leo if you spot i can rip into him,Non-Toxic
gg,Non-Toxic
first time ive ever succefully taken lighthouse hill in shitbarn lol,Non-Toxic
successfully,Non-Toxic
gg,Non-Toxic
gg,Non-Toxic
THANKS FOR SUPPORT LAME IDIOTS,Insults and Flaming
GG,Non-Toxic
"amazing how that works, leave a flank open and lose",Other Offensive Texts
"hey, but everyone has their spot they have to go to",Non-Toxic
hmm,Non-Toxic
please A0 NOT K1!!!,Non-Toxic
better position,Non-Toxic
fuck team,Insults and Flaming
pancsy :D,Non-Toxic
1v2,Non-Toxic
:D,Non-Toxic
gj,Non-Toxic
nice,Non-Toxic
l??l,Non-Toxic
ggggggggggggggggggggg,Non-Toxic
omg,Non-Toxic
lol,Non-Toxic
i ll go right side,Non-Toxic
lt,Non-Toxic
blind here,Non-Toxic
wow,Non-Toxic
open for u manti,Non-Toxic
gj,Non-Toxic
jesus,Non-Toxic
imposible jugara si,Non-Toxic
TS-54 can't kill one charioeteer and help team? Ok,Non-Toxic
my bad,Non-Toxic
interesting,Non-Toxic
odds on a draw?,Non-Toxic
"Pretty sure 54 threw this by not killing the charioeteer, when it was the only tank in front of him...? GG",Non-Toxic
Arty MVP,Non-Toxic
find that arty,Non-Toxic
didnt think the chariot had the balls,Non-Toxic
same lol,Non-Toxic
let the gw get into position,Non-Toxic
gg,Non-Toxic
he's runnin,Non-Toxic
stop cap,Non-Toxic
NS,Non-Toxic
fv moved fellas,Non-Toxic
get arty,Non-Toxic
WHAT A LOW IQ PLAYERS COME IN THIS GAME,Other Offensive Texts
sos,Non-Toxic
fing cunts,Insults and Flaming
"go die bot, no time ;-)",Insults and Flaming
anti atry pls,Non-Toxic
)),Non-Toxic
gg,Non-Toxic
submarine,Non-Toxic
team lol :),Non-Toxic
team lol :),Non-Toxic
why,Non-Toxic
no one coming,Other Offensive Texts
team ...,Non-Toxic
are you all bot???,Insults and Flaming
SRY,Non-Toxic
u did bes,Non-Toxic
best,Non-Toxic
ok..,Non-Toxic
gg,Non-Toxic
omg,Non-Toxic
cap,Non-Toxic
:D,Non-Toxic
lol,Non-Toxic
u fcking god bro,Non-Toxic
gg,Non-Toxic
no cap pls,Non-Toxic
pls,Non-Toxic
pls no,Non-Toxic
idiot,Non-Toxic
&lt;3,Non-Toxic
thx,Non-Toxic
"МЕГА СЛЕПОЙ , тут явно игра сливает нас",Non-Toxic
move up you useless shits,Insults and Flaming
shh shhh,Non-Toxic
what a dipshit team,Insults and Flaming
my back is starting to hurt,Insults and Flaming
get skorp,Non-Toxic
ill get arnie,Non-Toxic
idiot leo,Insults and Flaming
ebr idiot,Insults and Flaming
140 idiot report,Insults and Flaming
moron ebr,Insults and Flaming
base,Non-Toxic
cap,Non-Toxic
"type, godmod",Non-Toxic
bro reallyt,Non-Toxic
shoot bro,Non-Toxic
aahaha,Non-Toxic
finally,Non-Toxic
лор ты спишь?,Non-Toxic
ой,Non-Toxic
8к дал),Non-Toxic
Пойдет черепашечка,Non-Toxic
loooooooooooool,Non-Toxic
y are u playing like this?,Non-Toxic
dont rush and suicide,Non-Toxic
3k blocked,Non-Toxic
3425,Non-Toxic
in 6 tier,Non-Toxic
what language is this music?,Non-Toxic
polish,Non-Toxic
ahh,Non-Toxic
ty,Non-Toxic
its on youtube also,Non-Toxic
i will check youtube... it makes me feel feelings,Non-Toxic
gg,Non-Toxic
21 rounds left,Non-Toxic
be my guest,Non-Toxic
move up here tds and we all go together,Non-Toxic
famous last words...we all die togher,Non-Toxic
what the hell,Non-Toxic
yay i helped,Non-Toxic
just say your a pussy,Non-Toxic
stfu...I'm moving already,Other Offensive Texts
and both of tyhem just leave,Non-Toxic
you love me and you know it,Other Offensive Texts
I go left...you go right and we all die together,Non-Toxic
say when,Non-Toxic
we have 2.5 minutes,Non-Toxic
yep,Non-Toxic
too late to cap..kill them all,Non-Toxic
sry su but thanks for coming,Non-Toxic
not lit yet,Non-Toxic
gg,Non-Toxic
*** *** Noob TD's at A0,Insults and Flaming
4 TD'S campoing and thta ShPTK get not one shot,Other Offensive Texts
hjeavys you ***,Insults and Flaming
liki idiot play tier 1,Insults and Flaming
gsor spot,Non-Toxic
ready ?,Non-Toxic
im gonna go tank and spot,Non-Toxic
gg,Non-Toxic
lights spot,Non-Toxic
here is the music why is no one shooting,Non-Toxic
?????,Non-Toxic
get put pf the city,Non-Toxic
sleep monkeys ???,Insults and Flaming
they will just decap drive away,Other Offensive Texts
tool ate,Non-Toxic
gg,Non-Toxic
USELESS FUCK TEAM !!!,Insults and Flaming
"play sims , mom^gos",Non-Toxic
mother fucker retard players,Insults and Flaming
kill arty,Non-Toxic
"Nah, kill all.",Non-Toxic
:-),Non-Toxic
xddd,Non-Toxic
xd,Non-Toxic
yeah,Non-Toxic
what are doing vk?,Non-Toxic
friendly enemy,Non-Toxic
yes :-P,Non-Toxic
yes lol,Non-Toxic
OMG ;-),Non-Toxic
wtf,Other Offensive Texts
this is team play game,Non-Toxic
gj e25 ;),Non-Toxic
time,Non-Toxic
well done appa,Non-Toxic
kpz vs. Rino...FIGHT!,Non-Toxic
leo1 and hori on 9 line,Non-Toxic
0 line,Non-Toxic
p,Non-Toxic
hehe,Non-Toxic
gg,Non-Toxic
im sick of pussys in this game,Non-Toxic
ko??obanov !!!,Non-Toxic
fall back,Non-Toxic
Hilfe! Ich werde gleich auf J7 verpr??gelt!,Non-Toxic
Im Spotted at B1!,Non-Toxic
Hilfe! Ich werde gleich auf C1 verpr??gelt!,Non-Toxic
Hilfe! Ich werde gleich auf C1 verpr??gelt!,Non-Toxic
Hilfe! Ich werde gleich auf B1 verpr??gelt!,Non-Toxic
Hilfe! Ich werde gleich auf A3 verpr??gelt!,Non-Toxic
Hilfe! Ich werde gleich auf A3 verpr??gelt!,Non-Toxic
Im Spotted at J8!,Non-Toxic
Im Spotted at K6!,Non-Toxic
Im Spotted at J7!,Non-Toxic
Im Spotted at J7!,Non-Toxic
Im Spotted at J7!,Non-Toxic
Im Spotted at K6!,Non-Toxic
Im Spotted at J3!,Non-Toxic
too many campers,Non-Toxic
there a tank behind you,Non-Toxic
YOU CAN MAKE IT!,Non-Toxic
fuck ],Other Offensive Texts
hang in there,Non-Toxic
ns,Non-Toxic
what an idiot,Insults and Flaming
if he sat still he woulda killed you,Non-Toxic
LOL,Non-Toxic
never stop the enemy when he's making a mistake,Non-Toxic
plenty of time,Non-Toxic
gg,Non-Toxic
gg,Non-Toxic
gg,Non-Toxic
ebr are you goin to spot here?,Non-Toxic
thx,Non-Toxic
ill try to support,Non-Toxic
xD,Non-Toxic
we got 2,Non-Toxic
vz!,Non-Toxic
sry,Non-Toxic
"Carlos83 (Obj. 279 (e)), you are blocking my target!",Non-Toxic
STB up,Non-Toxic
?,Non-Toxic
progetto,Non-Toxic
up C3,Non-Toxic
look ayt,Non-Toxic
t-54,Non-Toxic
damn,Non-Toxic
pro faca,Non-Toxic
no warning...,Non-Toxic
g,Non-Toxic
g,Non-Toxic
workin a b lines,Non-Toxic
push it,Non-Toxic
push it real good,Non-Toxic
i cant see that far,Non-Toxic
gg,Non-Toxic
gg,Non-Toxic
ffs,Non-Toxic
:D,Non-Toxic
sorry stock gun,Non-Toxic
gg,Non-Toxic
"Hali! A MAATT kl??n akt??v j??t??kosokat keres. A WN8 nem sz??m??t. J?? t??rsas??g, k??telezetts??gek n??lk??l. Ha ??rdekel keress, k??szi. Sry for spam.",Non-Toxic
aaaaaaaaaaawwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwdddddddddddddddddddddddrwwwwwwwwwwwwwwwwwwww,Non-Toxic
report E75,Non-Toxic
ty cobra,Non-Toxic
fuck your mother,Hate and Harassment 
gg,Non-Toxic
gg,Non-Toxic
idiots on hill,Insults and Flaming
invite me to platon please,Non-Toxic
i cant,Non-Toxic
"sorry guys, im having some lag issues and its affecting my gameplay.",Non-Toxic
this is not worth the frustration,Non-Toxic
stop peeking,Non-Toxic
emill you are super blind tankaw,Non-Toxic
dead,Non-Toxic
push,Non-Toxic
bro is cooking,Non-Toxic
haha,Non-Toxic
only thing I can do,Non-Toxic
holy,Non-Toxic
bro that was something,Non-Toxic
still going on hahaha,Non-Toxic
jesus,Non-Toxic
try to kill kv then it is w,Non-Toxic
nice,Non-Toxic
what is happening jesus,Non-Toxic
lets gooo,Non-Toxic
best game of my life,Non-Toxic
haha arty shitted his pants,Non-Toxic
wondering where M44 is,Non-Toxic
be careful,Non-Toxic
yes,Non-Toxic
fucksa,Non-Toxic
nonono,Non-Toxic
you are in time i guess,Non-Toxic
I hope so,Non-Toxic
unfortunate,Other Offensive Texts
how do I play this thing,Non-Toxic
with skill,Non-Toxic
spot for us maybe,Non-Toxic
d,Non-Toxic
go,Non-Toxic
spot,Non-Toxic
gg,Non-Toxic
mi a szart csin??lsz?,Non-Toxic
mozdulj meg,Non-Toxic
ouch,Non-Toxic
nice team,Non-Toxic
useless light,Insults and Flaming
wz idiots,Insults and Flaming
big idiots,Insults and Flaming
Im Spotted at F4!,Non-Toxic
Im Spotted at G6!,Non-Toxic
Im Spotted at G6!,Non-Toxic
Im Spotted at F6!,Non-Toxic
Im Spotted at G6!,Non-Toxic
Im Spotted at F6!,Non-Toxic
Im Spotted at F7!,Non-Toxic
gg,Non-Toxic
"aseke_15kz (Chaffee), не мешай стрелять!",Non-Toxic
не кипишуй,Non-Toxic
look on mini map where the tanks are - don't cam on A9,Non-Toxic
подсосники,Non-Toxic
nice,Non-Toxic
XD,Non-Toxic
coffe???,Non-Toxic
barmok,Insults and Flaming
spg,Non-Toxic
pantera alive,Non-Toxic
he still ther,Non-Toxic
hp pantwera?,Non-Toxic
one shot right?,Non-Toxic
t25 just go,Non-Toxic
gg,Non-Toxic
fcking stupid red mtherfckers,Insults and Flaming
1,Non-Toxic
skorpion,Non-Toxic
good is,Non-Toxic
go,Non-Toxic
good st,Non-Toxic
THX,Non-Toxic
how much you have hp?,Non-Toxic
i see 443 ok,Non-Toxic
i go cap,Non-Toxic
arty shot,Non-Toxic
is here,Non-Toxic
gg,Non-Toxic
i kurwa nastepne zjebane cioty,Non-Toxic
nice,Non-Toxic
where arty?,Non-Toxic
pass,Non-Toxic
cap,Non-Toxic
lol,Non-Toxic
hellcat there,Non-Toxic
take the hit tiger p,Non-Toxic
gg,Non-Toxic
gg,Non-Toxic
char and prog,Non-Toxic
get hill,Non-Toxic
idiot pilot,Insults and Flaming
gg,Non-Toxic
gg,Non-Toxic
idiotz,Insults and Flaming
botteam again,Insults and Flaming
Im Spotted at B3!,Non-Toxic
Im Spotted at B5!,Non-Toxic
???????????,Non-Toxic
GG,Non-Toxic
leo 1 afk bot and riggier with enemy,Insults and Flaming
kill artys,Non-Toxic
Im Spotted at C0!,Non-Toxic
gg,Non-Toxic
6 vs 10 Sign,Non-Toxic
#ERROR!,Other Offensive Texts
?,Non-Toxic
i guess,Non-Toxic
with bots like yourself yes it's an loss,Insults and Flaming
you are using xvm,Non-Toxic
dick e,Non-Toxic
400 wn8 after 17k games,Non-Toxic
ea,Non-Toxic
Im Spotted at F9!,Non-Toxic
Im Spotted at F2!,Non-Toxic
look at him...afk,Other Offensive Texts
He can die alone then,Other Offensive Texts
Im Spotted at F9!,Non-Toxic
future,Non-Toxic
suicidal,Other Offensive Texts
time for you to be a HT Somua,Non-Toxic
right,Non-Toxic
fucking the new french 5rnd td,Insults and Flaming
holy shit somua,Insults and Flaming
"we know, that's why we need you to be a HT duh",Non-Toxic
I would expect the Borr to be circling around....,Non-Toxic
fuck it as long as we win dont matter how lol,Other Offensive Texts
I hate you so much right now RNGesus,Other Offensive Texts
well if the ht was a hvy,Insults and Flaming
and not emptying his clip in to a ghost bour,Non-Toxic
push together,Non-Toxic
he loading,Non-Toxic
gg,Non-Toxic
holy shit,Non-Toxic
moron,Insults and Flaming
u fucking idiot,Insults and Flaming
iidiiotts,Insults and Flaming
cappp,Non-Toxic
bots,Non-Toxic
GO,Non-Toxic
ffs,Other Offensive Texts
why,Non-Toxic
fucking why,Other Offensive Texts
this tean,Non-Toxic
alll,Non-Toxic
907,Non-Toxic
more fucking morons,Insults and Flaming
this gane,Non-Toxic
907 idiot,Insults and Flaming
FK 907,Insults and Flaming
pos,Non-Toxic
uninstall 907,Insults and Flaming
moron,Insults and Flaming
"see whats going on, lets swim alittle",Non-Toxic
d,Non-Toxic
all defend,Non-Toxic
omg,Non-Toxic
gg,Non-Toxic
TEAM WHY U PUSS ME IDIOTS,Non-Toxic
tomihui you idiott,Insults and Flaming
cap,Non-Toxic
tomi go cap idiot,Non-Toxic
gg,Non-Toxic
nice,Non-Toxic
nice,Non-Toxic
i caried my ass ass well,Non-Toxic
now kill *** arty,Insults and Flaming
they will run,Non-Toxic
singele shot,Non-Toxic
wtf,Non-Toxic
wtf???,Other Offensive Texts
lolollo,Non-Toxic
gg,Non-Toxic
hi shit map ....,Non-Toxic
X tier tazke that faslty,Non-Toxic
i takze fatalisty arta,Non-Toxic
please come,Non-Toxic
i need help,Non-Toxic
carro ennemi is good,Non-Toxic
omg team camper,Non-Toxic
gg team camper 2/3,Insults and Flaming
2-Jun,Non-Toxic
2-Aug,Non-Toxic
fucking retard team,Non-Toxic
you didin't help udes,Non-Toxic
come and we win,Non-Toxic
"sry, but i didnt see weakspot",Non-Toxic
Засвет в квадрате A3!!!,Non-Toxic
team camper,Non-Toxic
Засвет в квадрате A2!!!,Non-Toxic
gun depression is a problem for me on this map,Non-Toxic
NEED ONE FRAG MISSION PLS,Non-Toxic
thx,Non-Toxic
not this fucking stupid map,Other Offensive Texts
"ah no, my mistake, this one is good",Non-Toxic
lotto map,Non-Toxic
gg,Non-Toxic
we won the lotto map this time xd,Non-Toxic
fucking gold pussy lion!,Insults and Flaming
wtf is this,Other Offensive Texts
1400 dmg omg,Insults and Flaming
g,Non-Toxic
gg,Non-Toxic
spot please,Non-Toxic
давай красава,Non-Toxic
gg,Non-Toxic
sry,Non-Toxic
T10 push T95,Non-Toxic
cap,Non-Toxic
he,Non-Toxic
no HE left,Non-Toxic
kk,Non-Toxic
gg,Non-Toxic
gg,Non-Toxic
report on cs52...,Non-Toxic
wohin,Non-Toxic
snipe from there,Non-Toxic
ahahaha 1hp,Non-Toxic
Im Spotted at K0!,Non-Toxic
gj,Non-Toxic
u spotted?,Non-Toxic
"ferdinand can you move,",Non-Toxic
?,Non-Toxic
sorry caps,Non-Toxic
where?,Non-Toxic
ping,Non-Toxic
ferdinand !!!,Non-Toxic
back,Non-Toxic
-_-,Non-Toxic
gg,Non-Toxic
gg FCM &lt;3,Non-Toxic
thx T-46,Non-Toxic
best spot,Non-Toxic
:),Non-Toxic
idk what it is with my teams today,Insults and Flaming
but yall are trash,Insults and Flaming
GFU nugs,Insults and Flaming
idiots,Insults and Flaming
dead men dont talk,Insults and Flaming
This noob ...,Insults and Flaming
then y u talking since u died,Insults and Flaming
"lol, nugs is less than 2k battles and talking shit",Insults and Flaming
Arty for the carry,Non-Toxic
still better than u,Non-Toxic
Who are you talking to?,Non-Toxic
gg guys,Non-Toxic
gg,Non-Toxic
t67,Non-Toxic
I dont think so ahole nugs,Non-Toxic
okay 30k battles 2k rating,Non-Toxic
boy you dont know how to read stats do you i d 10t,Non-Toxic
nice,Non-Toxic
ary in thata rea I think,Non-Toxic
"i dint look, just going off how u play the game",Non-Toxic
YES!,Non-Toxic
bots,Insults and Flaming
only 1 shell,Non-Toxic
ME 2,Non-Toxic
SZT,Non-Toxic
he is turning,Non-Toxic
1 S,Non-Toxic
